participante;nomeParticipante;tipoParticipante;dataHoraInicioOperacao
00000000;BANCO DO BRASIL S.A.;DRCT;2020-11-03T09:30:00.000Z
00000208;BRB - BANCO DE BRASILIA S.A.;DRCT;2020-11-03T09:30:00.000Z
00068987;COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO TRIÂNGULO MINEIRO E SUDESTE DE GOIÁS LTDA. - SICOOB ARACREDI;IDRT;2020-11-03T09:30:00.000Z
00075847;COOPERATIVA DE CRÉDITO UNICRED CENTRO-SUL LTDA – UNICRED CENTRO-SUL;IDRT;2020-11-03T09:30:00.000Z
00106180;CENTRAL DAS COOPERATIVAS DE CRÉDITO DOS ESTADOS DE MATO GROSSO, MATO GROSSO DO SUL E DO MUNICÍPIO DE CACOAL/RO - SICOOB CENTRAL RONDON;IDRT;2020-11-03T09:30:00.000Z
00259231;SICOOB UNIMAIS METROPOLITANA – COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO;IDRT;2020-11-03T09:30:00.000Z
00309024;CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;IDRT;2020-11-03T09:30:00.000Z
00315557;CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED LTDA. - UNICRED DO BRASIL.;DRCT;2020-11-03T09:30:00.000Z
00360305;CAIXA ECONOMICA FEDERAL;DRCT;2020-11-03T09:30:00.000Z
00416968;BANCO INTER S.A.;DRCT;2020-11-03T09:30:00.000Z
00429890;COOPERATIVA DE CREDITO CREDIAGRO LTDA. - SICOOB CREDIAGRO;IDRT;2020-11-03T09:30:00.000Z
00512839;COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO SEMASA - SICOOB CECRESA;IDRT;2020-11-03T09:30:00.000Z
00517645;BANCO RIBEIRAO PRETO S.A.;DRCT;2020-11-03T09:30:00.000Z
00558456;BANCO CETELEM S.A.;DRCT;2020-11-03T09:30:00.000Z
00604122;TRIVALE ADMINISTRACAO LTDA;IDRT;2020-11-03T09:30:00.000Z
00655522;ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;IDRT;2020-11-03T09:30:00.000Z
00692214;CENTRAL DAS COOPERATIVAS DE ECONOMIA E CRÉDITO DO PLANALTO CENTRAL LTDA - SICOOB PLANALTO CENTRAL;IDRT;2020-11-03T09:30:00.000Z
